"Last Modified","Container Type","Container Description","Track Description","Ignore For Recommendations",Country,"Container Reference","Track Reference","Feature Name","First Event Timestamp","Last End Reason Tyoe","Last Event End Timestamp","Last Event Received Timestamp","Last Event Start Timestamp","Max Event End Position in millis","Max Play Duration in millis","Media duration in millis","Media type","Min Event Start Position in millis","Total plays","Total skips","Total play duration in millis"
2021-11-30T22:50:49.414Z,Playlist,"Today’s Hits","Bruno Mars, Anderson .Paak & Silk Sonic - Smokin Out The Window",false,"United States",256001289,1589361900,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-30T22:48:52.947Z,N/A,N/A,"Lil Dicky - $ave Dat Money (feat. Fetty Wap & Rich Homie Quan)",false,"United States",N/A,1528118219,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-30T22:48:39.529Z,N/A,N/A,"Kacey Musgraves - Golden Hour",false,"United States",N/A,1350091562,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-30T22:46:42.822Z,N/A,N/A,"Megadeth - Peace Sells (Randy Burns Mix)",false,"United States",N/A,1440838059,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-30T22:34:23.118Z,N/A,N/A,"Rick Ross - The Devil Is a Lie (feat. JAY Z)",false,"United States",N/A,1442452425,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-30T22:34:21.201Z,Playlist,"Summer 2k17","Passion Pit - Sleepyhead",false,"United States",256002561,365805236,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-30T22:34:18.923Z,Album,"Dua Lipa - Future Nostalgia","Dua Lipa - Hallucinate",false,"United States",1538003494,1538003853,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-30T22:29:57.211Z,Playlist,Workout,"Da Headbussaz - Get the F. Out My Face",false,"United States",256001805,125000971,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-30T22:29:54.590Z,N/A,N/A,"Garrett T. Capps - No Reason",false,"United States",N/A,1104105838,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-30T22:29:51.458Z,N/A,N/A,"Vince Staples - Rain Come Down",false,"United States",N/A,1238515303,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-30T22:29:45.376Z,N/A,N/A,"Metallica - Master of Puppets",false,"United States",N/A,1275819878,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-30T22:29:38.797Z,N/A,N/A,"Garrett T. Capps - Some Times",false,"United States",N/A,1104105840,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-30T15:30:40.992Z,N/A,N/A,"Walker Hayes - Fancy Like",false,"United States",N/A,1565415006,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-30T15:26:35.680Z,Album,"Tracy Byrd - Live at Billy Bob's Texas","Tracy Byrd - I'm From the Country (Live)",false,"United States",1477112784,1477112951,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-28T20:36:24.869Z,N/A,N/A,"Sum 41 - Fat Lip",false,"United States",N/A,1440921141,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-27T23:12:22.713Z,Playlist,"I Wanna Go Fast","Metallica - For Whom the Bell Tolls",false,"United States",256004097,579149036,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-27T23:11:43.446Z,Playlist,"I Wanna Go Fast","Rammstein - Du hast",false,"United States",256004097,1390562691,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-27T23:08:43.281Z,Playlist,"I Wanna Go Fast","Beastie Boys - Sabotage",false,"United States",256004097,724619018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-27T23:05:38.838Z,Album,"Apollo 440 - Dude Descending a Staircase","Apollo 440 - Time Is Running Out",false,"United States",268425126,268425383,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-27T23:03:35.436Z,Playlist,"I Wanna Go Fast","The Weeknd - Blinding Lights",false,"United States",256004097,1488408568,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-27T15:39:42.377Z,Playlist,"’60s Dance Party Essentials","Wilson Pickett - In the Midnight Hour",false,"United States",256003849,281713778,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-27T03:07:05.359Z,Playlist,"’60s Dance Party Essentials","Stevie Wonder - Uptight (Everything's Alright)",false,"United States",256003849,1443113716,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-27T03:03:32.021Z,Album,"Petula Clark - The Pye Anthology","Petula Clark - The World Song",false,"United States",1193767367,1193767912,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-27T03:03:14.697Z,N/A,N/A,"Farruko - Pepas",false,"United States",N/A,1573304194,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-26T16:34:18.986Z,Album,"Delta 5 - Mind Your Own Business","Delta 5 - Mind Your Own Business",false,"United States",336748998,336749061,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-26T15:38:30.454Z,Playlist,N/A,"Post Malone & The Weeknd - One Right Now",false,"United States",256001289,1593056986,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-26T15:36:00.191Z,Album,"Mannequin Pussy - Perfect - EP","Mannequin Pussy - Darling",false,"United States",1555999100,1555999105,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-26T15:34:39.586Z,Album,"Mannequin Pussy - Perfect - EP","Mannequin Pussy - Pigs Is Pigs",false,"United States",1555999100,1555999104,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-26T15:25:10.782Z,Album,"Mannequin Pussy - Perfect - EP","Mannequin Pussy - To Lose You",false,"United States",1555999100,1555999103,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-26T15:23:47.914Z,Album,"Mannequin Pussy - Perfect - EP","Mannequin Pussy - Perfect",false,"United States",1555999100,1555999102,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-26T15:20:32.309Z,Album,"Mannequin Pussy - Perfect - EP","Mannequin Pussy - Control",false,"United States",1555999100,1555999101,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-25T18:06:07.790Z,Album,"HAIM - Women In Music Pt. III","HAIM - The Steps",false,"United States",1500345235,1500345237,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-25T18:05:41.390Z,Playlist,"Sweet K's Mix","Anderson .Paak - Tints (feat. Kendrick Lamar)",false,"United States",256000769,1437534363,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-24T23:38:36.837Z,N/A,N/A,"Chance the Rapper - Cocoa Butter Kisses (feat. Vic Mensa & Twista)",false,"United States",N/A,1470464200,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-24T23:32:23.881Z,N/A,N/A,"OutKast - Roses",false,"United States",N/A,281430765,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-24T23:32:20.394Z,N/A,N/A,"Dua Lipa - Break My Heart",false,"United States",N/A,1538004012,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-24T23:32:03.184Z,N/A,N/A,"Bob Dylan - Mississippi",false,"United States",N/A,834450847,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-24T23:22:13.665Z,N/A,N/A,"Ivan Gough & Feenixpawl - In My Mind (Axwell Mix)",false,"United States",N/A,526905393,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-24T23:18:15.318Z,Playlist,"Sweet K's Mix","Sean Paul - Like Glue",false,"United States",256000769,79305456,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-24T20:27:28.518Z,Album,"Disclosure - Settle (Deluxe Version)","Disclosure - Latch (feat. Sam Smith)",false,"United States",1440862011,1440862129,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-24T03:25:26.329Z,Playlist,"Sweet K's Mix","Demi Lovato - Sorry Not Sorry",false,"United States",256000769,1405197239,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-24T03:25:25.200Z,Playlist,"Sweet K's Mix","Kreayshawn - Gucci Gucci",false,"United States",256000769,559947718,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-24T03:24:44.906Z,Playlist,"Sweet K's Mix","Travis Scott - SICKO MODE",false,"United States",256000769,1421242781,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-24T03:21:00.609Z,Playlist,"Sweet K's Mix","Sheck Wes - Mo Bamba",false,"United States",256000769,1438063138,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-24T03:18:25.659Z,Playlist,"Sweet K's Mix","Leikeli47 - Money",false,"United States",256000769,1145990236,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-24T03:15:28.022Z,Playlist,"Sweet K's Mix","Nicki Minaj - Coco Chanel (feat. Foxy Brown)",false,"United States",256000769,1398449939,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-24T00:35:04.691Z,Playlist,"Sweet K's Mix","Cardi B, Bad Bunny & J Balvin - I Like It",false,"United States",256000769,1368157211,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-24T00:34:41.398Z,Playlist,"Sweet K's Mix","Frank Ocean - Ivy",false,"United States",256000769,1146195713,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-24T00:30:06.622Z,Playlist,"Sweet K's Mix","Chance the Rapper - 65th & Ingleside",false,"United States",256000769,1413898405,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-24T00:26:27.911Z,Playlist,"Sweet K's Mix","Drake - In My Feelings",false,"United States",256000769,1406109901,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-24T00:26:21.272Z,Playlist,"Sweet K's Mix","Ekoh - Pickle Rick",false,"United States",256000769,1502787524,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-24T00:26:18.383Z,Playlist,"Sweet K's Mix","21 Savage - Bank Account",false,"United States",256000769,1254351757,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-24T00:26:04.271Z,Playlist,"Sweet K's Mix","Anderson .Paak - JEWELZ",false,"United States",256000769,1533082533,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-24T00:25:57.221Z,Playlist,Workout,"ZZ Top - Just Got Paid",false,"United States",256001805,655220514,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-23T20:57:39.195Z,Playlist,"Baby Driver (Music From the Motion Picture)","Kashmere Stage Band - Kashmere",false,"United States",256003077,297641309,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-23T20:54:42.214Z,Playlist,"Baby Driver (Music From the Motion Picture)","Carla Thomas - B-A-B-Y (Single Version)",false,"United States",256003077,140081589,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-23T20:52:16.101Z,Playlist,"Baby Driver (Music From the Motion Picture)","The Beach Boys - Let's Go Away for Awhile",false,"United States",256003077,1440852170,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-23T20:49:18.443Z,Playlist,"Baby Driver (Music From the Motion Picture)","Googie Rene - Smokey Joe's La La",false,"United States",256003077,1543411086,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-23T20:46:42.547Z,Playlist,"Baby Driver (Music From the Motion Picture)","Jonathan Richman & Jonathan Richman & The Modern Lovers - Egyptian Reggae",false,"United States",256003077,389511609,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-23T20:43:54.315Z,Playlist,"Baby Driver (Music From the Motion Picture)","Bob & Earl - Harlem Shuffle",false,"United States",256003077,1027607784,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-23T20:38:34.520Z,Playlist,"Baby Driver (Music From the Motion Picture)","The Jon Spencer Blues Explosion - Bellbottoms",false,"United States",256003077,1248523415,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-23T20:07:28.909Z,Album,"Kanye West - Donda","Kanye West - God Breathed",false,"United States",1587795158,1587795276,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-23T20:02:29.185Z,Album,"Kanye West - Donda","Kanye West - Jail",false,"United States",1587795158,1587795181,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-23T19:52:45.602Z,Playlist,"Rap Life","Gunna & Future - Too Easy",false,"United States",256002313,1587196023,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-22T23:46:29.095Z,Playlist,Workout,"Metallica - One",false,"United States",256001805,1433828082,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-22T23:42:49.690Z,Playlist,Workout,"Marilyn Manson - The Beautiful People",false,"United States",256001805,331351259,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-22T23:37:35.185Z,Playlist,Workout,"Pantera - Walk",false,"United States",256001805,1049189260,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-22T23:33:45.975Z,Playlist,Workout,"Billy Squier - Everybody Wants You",false,"United States",256001805,725803847,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-22T23:30:35.925Z,Playlist,Workout,"Khia - My Neck, My Back",false,"United States",256001805,32990857,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-22T23:27:47.794Z,Playlist,Workout,"Black Sabbath - Paranoid",false,"United States",256001805,785232521,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-22T23:25:34.499Z,Playlist,Workout,"J. Cole - Motiv8",false,"United States",256001805,1373858938,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-22T23:22:42.727Z,Playlist,Workout,"The Jimi Hendrix Experience - Purple Haze",false,"United States",256001805,344799464,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-22T23:17:39.751Z,Playlist,Workout,"French Montana - Pop That (feat. Rick Ross, Drake & Lil Wayne)",false,"United States",256001805,632787511,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-22T23:13:20.231Z,Playlist,Workout,"Styx - Renegade",false,"United States",256001805,353037,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-22T23:13:03.746Z,Playlist,Workout,"Black Sabbath - War Pigs / Luke's Wall",false,"United States",256001805,785232520,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-22T19:48:44.440Z,Playlist,"Summer 2k17","Taylor Swift - 22",false,"United States",256002561,571445455,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-22T19:48:43.523Z,Playlist,"Summer 2k17","Taylor Swift - Our Song",false,"United States",256002561,275621661,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-22T19:48:42.921Z,Playlist,"Summer 2k17","Three Dog Night - Joy to the World (Edit)",false,"United States",256002561,1469579665,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-22T19:48:42.803Z,Playlist,"Summer 2k17","Billy Joel - Only the Good Die Young (Single Version)",false,"United States",256002561,158816070,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-22T19:48:42.536Z,Playlist,"Summer 2k17","The Hollies - Long Cool Woman (In a Black Dress)",false,"United States",256002561,192970184,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-22T19:48:42.200Z,Playlist,"Summer 2k17","Norman Greenbaum - Spirit In the Sky",false,"United States",256002561,1462211356,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-22T19:48:41.539Z,Playlist,"Summer 2k17","DJ Khaled - I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",false,"United States",256002561,1244230127,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-22T19:48:41.294Z,Playlist,"Summer 2k17","Luis Fonsi & Daddy Yankee - Despacito (feat. Justin Bieber) [Remix]",false,"United States",256002561,1447401626,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-22T19:48:40.801Z,Playlist,"Summer 2k17","Simon & Garfunkel - Cecilia",false,"United States",256002561,324127936,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-22T19:48:38.228Z,Playlist,"Summer 2k17","Prince - Kiss",false,"United States",256002561,260336471,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-22T19:19:21.539Z,Playlist,"Summer 2k17","Deee-Lite - Groove Is In the Heart",false,"United States",256002561,818269265,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-22T19:18:51.485Z,Album,"LEN - Steal My Sunshine - Single","LEN - Steal My Sunshine",false,"United States",459816205,459816208,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-22T19:04:00.762Z,Playlist,"Summer 2k17","JAY-Z - The Story of O.J.",false,"United States",256002561,1256675690,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-22T19:03:59.143Z,Playlist,"Summer 2k17","JAY-Z - 4:44",false,"United States",256002561,1256675696,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-22T18:40:27.228Z,Playlist,"Summer 2k17","Franz Ferdinand - Take Me Out",false,"United States",256002561,315844084,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
